எண்,பால்,இயல்,அதிகாரம்,குறள்
31,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு
ஆக்கம் எவனோ உயிர்க்கு."
32,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை
மறத்தலின் ஊங்கில்லை கேடு."
33,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"ஒல்லும் வகையான் அறவினை ஓவாதே
செல்லும்வாய் எல்லாஞ் செயல்."
34,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"மனத்துக்கண் மாசிலன் ஆதல் அனைத்து அறன்
ஆகுல நீர பிற."
35,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்
இழுக்கா இயன்றது அறம்."
36,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது
பொன்றுங்கால் பொன்றாத் துணை."
37,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"அறத்தாறு இதுவென வேண்டா சிவிகை
பொறுத்தானோடு ஊர்ந்தான் இடை."
38,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்
வாழ்நாள் வழியடைக்கும் கல்."
39,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"அறத்தான் வருவதே இன்பம் மற் றெல்லாம்
புறத்த புகழும் இல."
40,1. அறத்துப்பால்,பாயிரவியல்,1.1.4. அறன்வலியுறுத்தல்,"செயற்பால தோரும் அறனே ஒருவற்கு
உயற்பால தோரும் பழி."
41,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும்
நல்லாற்றின் நின்ற துணை."
42,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும்
இல்வாழ்வான் என்பான் துணை."
43,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு
ஐம்புலத்தாறு ஓம்பல் தலை."
44,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை
வழியெஞ்சல் எஞ்ஞான்றும் இல்."
45,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை
பண்பும் பயனும் அது."
46,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில்
போஒய்ப் பெறுவ தெவன்?"
47,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான்
முயல்வாருள் எல்லாம் தலை."
48,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"ஆற்றின் ஒழுக் கி அறனிழுக்கா இல்வாழ் க்கை
நோற்பாரின் நோன்மை உடைத்து."
49,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"அறன் எனப் பட்டதே இல்வாழ்க்கை அஃதும்
பிறன்பழிப்ப தில்லாயின் நன்று."
50,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.1. இல்வாழ்க்கை,"வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும்
தெய்வத்துள் வைக்கப் படும்."
51,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான்
வளத்தக்காள் வாழ்க்கைத் துணை."
52,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை
எனைமாட்சித் தாயினும் இல்."
53,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"இல்லதென் இல்லவள் மாண்பானால் உள்ளதென்
இல்லவள் மாணாக் கடை?"
54,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும்
திண்மைஉண் டாகப் பெறின்."
55,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள்
பெய்யெனப் பெய்யும் மழை."
56,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற
சொற்காத்துச் சோர்விலாள் பெண்."
57,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர்
நிறைகாக்கும் காப்பே தலை."
58,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப்
புத்தேளிர் வாழும் உலகு."
59,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன்
ஏறுபோல் பீடு நடை."
60,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.2 வாழ்க்கைத் துணைநலம்,"மங்கலம் என்ப மனைமாட்சி மற்று அதன்
நன்கலம் நன்மக்கட் பேறு."
61,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த
மக்கட்பேறு அல்ல பிற."
62,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"எழுபிறப்பும் தீயவை தீண்டா பழிபிறங்காப்
பண்புடை மக்கட் பெறின்."
63,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"தம்பொருள் என்பதம் மக்கள் அவர்பொருள்
தம்தம் வினையான் வரும்."
64,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"அமிழ்தினும் ஆற்ற இனிதேதம் மக்கள்
சிறுகை அளாவிய கூழ்."
65,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"மக்கள்மெய் தீண்டல் உடற்கின்பம் மற்று அவர்
சொற்கேட்டல் இன்பம் செவிக்கு."
66,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"குழல் இனிது யாழ்இனிது என்பதம் மக்கள்
மழலைச்சொல் கேளா தவர்."
67,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"தந்தை மகற்காற்று நன்றி அவையத்து
முந்தி இருப்பச் செயல்."
68,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"தம்மின்தம் மக்கள் அறிவுடைமை மாநிலத்து
மன்னுயிர்க் கெல்லாம் இனிது."
69,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"ஈன்ற பொழுதின் பெரிதுவக்கும் தன்மகனைச்
சான்றோன் எனக்கேட்ட தாய்."
70,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.3 புதல்வரைப் பெறுதல்,"மகன்தந்தைக்கு ஆற்றும் உதவி இவன்தந்தை
என்நோற்றான் கொல் எனும் சொல்."
71,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர்
புன்கணீர் பூசல் தரும்."
71,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார்
என்பும் உரியர் பிறர்க்கு."
73,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்போடு இயைந்த வழக்கென்ப ஆருயிர்க்கு
என்போடு இயைந்த தொடர்பு."
74,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்பு ஈனும் ஆர்வம் உடைமை அதுஈனும்
நண்பு என்னும் நாடாச் சிறப்பு."
75,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்புற்று அமர்ந்த வழக்கென்ப வையகத்து
இன்புற்றார் எய்தும் சிறப்பு."
76,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அறத்திற்கே அன்புசார் பென்ப அறியார்
மறத்திற்கும் அஃதே துணை."
77,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"என்பி லதனை வெயில்போலக் காயுமே
அன்பி லதனை அறம்."
78,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்பகத் தில்லா உயிர்வாழ்க்கை வன்பாற்கண்
வற்றல் மரந்தளிர்த் தற்று."
79,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"புறத்துறுப் பெல்லாம் எவன்செய்யும் யாக்கை
அகத்துறுப்பு அன்பி லவர்க்கு."
80,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.4 அன்புடைமை,"அன்பின் வழியது உயிர்நிலை அஃதிலார்க்கு
என்புதோல் போர்த்த உடம்பு."
81,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி
வேளாண்மை செய்தற் பொருட்டு."
82,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"விருந்து புறத்ததாத் தானுண்டல் சாவா
மருந்தெனினும் வேண் டற்பாற் றன்று."
83,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை
பருவந்து பாழ்படுதல் இன்று."
84,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"அகனமர்ந்து செய்யாள் உறையும் முகனமர்ந்து
நல்விருந்து ஓம்புவான் இல்."
85,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"வித்தும் இடல்வேண்டும் கொல்லோ விருந்தோம்பி
மிச்சில் மிசைவான் புலம்."
86,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான்
நல்வருந்து வானத் தவர்க்கு."
87,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"இனைத்துணைத் தென்பதொன் றில்லை விருந்தின்
துணைத்துணை வேள்விப் பயன்."
88,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி
வேள்வி தலைப்படா தார்."
89,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"உடைமையுள் இன்மை விருந்தோம்பல் ஓம்பா
மடமை மடவார்கண் உண்டு."
90,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.5. விருந்தோம்பல்,"மோப்பக் குழையும் அனிச்சம் முகந்திரிந்து
நோக்கக் குநழ்யும் விருந்து."
91,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம்
செம்பொருள் கண்டார்வாய்ச் சொல்."
92,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"அகன்அமர்ந்து ஈதலின் நன்றே முகனமர்ந்து
இன்சொலன் ஆகப் பெறின்."
93,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"முகத்தான் அமர்ந் துஇனிது நோக்கி அகத்தானாம்
இன்சொ லினதே அறம்."
94,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"துன்புறூஉம் துவ்வாமை இல்லாகும் யார்மாட்டும்
இன்புறூஉம் இன்சொ லவர்க்கு."
95,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"பணிவுடையன் இன்சொலன் ஆதல் ஒருவற்கு
அணியல்ல மற்றுப் பிற."
96,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"அல்லவை தேய அறம்பெருகும் நல்லவை
நாடி இனிய சொலின்."
97,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"நயன் ஈன்று நன்றி பயக்கும் பயன்ஈன்று
பண்பின் தலைப்பிரியாச் சொல்."
98,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"சிறுமையுவு நீங்கிய இன்சொல் மறுமையும்
இம்மையும் இன்பம் தரும்."
99,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"இன்சொல் இனிதீன்றல் காண்பான் எவன்கொலோ
வன்சொல் வழங்கு வது?"
100,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.6 இனியவைகூறல்,"இனிய உளவாக இன்னாத கூறல்
கனிஇருப்பக் காய்கவர்ந் தற்று."
101,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"செய்யாமல் செய்த உதவிக்கு வையகமும்
வானகமும் ஆற்றல் அரிது."
102,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"காலத்தி னாற்செய்த நன்றி சிறிதெனினும்
ஞாலத்தின் மாணப் பெரிது."
103,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"பயன்தூக்கார் செய்த உதவி நயன்தூக்கின்
நன்மை கடலின் பெரிது."
104,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"தினைத்துணை நன்றி செயினும் பனைத்துணையாக்
கொள்வர் பயன்தெரி வார்."
105,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"உதவி வரைத்தன்று உதவி உதவி
செயப்பட்டார் சால்பின் வரைத்து."
106,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"மறவற்க மாசற்றார் கேண்மை துறவற்க
துன்பத்துள் துப்பாயார் நட்பு."
107,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"எழுமை எழுபிறப்பும் உள்ளுவர் தங்கண்
விழுமந் துடைத்தவர் நட்பு."
108,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"நன்றி மறப்பது நன்றன்று நன்றல்லது
அன்றே மறப்பது நன்று."
109,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"கொன்றன்ன இன்னா செயினும் அவர்செய்த
ஒன்றுநன்று உள்ளக் கெடும்."
110,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.7 செய்ந்நன்றி அறிதல்,"எந்நன்றி கொன்றார்க்கும் உய்வுண்டாம் உய்வில்லை
செய்ந்நன்றி கொன்ற மகற்கு."
111,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"தகுதி எனவொன்று நன்றே பகுதியால்
பாற்பட்டு ஒழுகப் பெறின்."
112,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"செப்பம் உடையவன் ஆக்கஞ் சிதைவின்றி
எச்சத்திற் கேமாப்பு உடைத்து."
113,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"நன்றே தரினும் நடுவிகந்தாம் ஆக்கத்தை
அன்றே யொழிய விடல்."
114,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"தக்கார் தகவிலர் என்பது அவரவர்
எச்சத்தாற் காணப்ப படும்."
115,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"கேடும் பெருக்கமும் இல்லல்ல நெஞ்சத்துக்
கோடாமை சான்றோர்க் கணி."
116,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"கெடுவல்யான் என்பது அறிகதன் நெஞ்சம்
நடுவொரீஇ அல்ல செயின்."
117,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"கெடுவாக வையாது உலகம் நடுவாக
நன்றிக்கண் தங்கியான் தாழ்வு."
118,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"சமன்செய்து சீர்தூக்குங் கோல்போல் அமைந்தொருபால்
கோடாமை சான்றோர்க் கணி."
119,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"சொற்கோட்டம் இல்லது செப்பம் ஒருதலையா
உட்கோட்டம் இன்மை பெறின்."
120,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.8 நடுவு நிலைமை,"வாணிகம் செய்வார்க்கு வாணிகம் பேணிப்
பிறவும் தமபோல் செயின்."
121,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"அடக்கம் அமரருள் உய்க்கும் அடங்காமை
ஆரிருள் உய்த்து விடும்."
122,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"காக்க பொருளா அடக்கத்தை ஆக்கம்
அதனினூஉங் கில்லை உயிர்க்கு."
123,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"செறிவறிந்து சீர்மை பயக்கும் அறிவறிந்து
ஆற்றின் அடங்கப் பெறின்."
124,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"நிலையின் திரியாது அடங்கியான் தோற்றம்
மலையினும் மாணப் பெரிது."
125,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"எல்லார்க்கும் நன்றாம் பணிதல் அவருள்ளும்
செல்வர்க்கே செல்வம் தகைத்து."
126,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"ஒருநம்யுள் ஆமைபோல் ஐந்தடக்கல் ஆற்றின்
எழுநம்யும் ஏமாப் புடைத்து."
127,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"யாகாவா ராயினும் நாகாக்க காவாக்கால்
சோகாப்பர் சொல்லிழுக்குப் பட்டு."
128,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"ஒன்றானுந் தீச்சொல் பொருட்பயன் உண்டாயின்
நன்றாகா தாகி விடும்."
129,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"தீயினாற் சுட்டபுண் உள்ளாறும் ஆறாதே
நாவினாற் சுட்ட வடு."
130,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.9. அடக்கமுடைமை,"கதங்காத்துக் கற்றடங்கல் ஆற்றுவான் செவ்வி
அறம்பார்க்கும் ஆற்றின் நுழைந்து."
131,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.10. ஒழுக்கமுடைமை,"ஒழுக்கம் விழுப்பந் தரலான் ஒழுக்கம்
உயிரினும் ஓம்பப் படும்."
132,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.10. ஒழுக்கமுடைமை,"பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித்
தேரினும் அஃதே துணை."
133,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.10. ஒழுக்கமுடைமை,"ஒழுக்கம் உடைமை குடிமை இழுக்கம்
இழிந்த பிறப்பாய் விடும்."
134,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.10. ஒழுக்கமுடைமை,"மறப்பினும் ஓத்துக் கொளலாகும் பார் ப்பான்
பிறப்பொழுக்கங் குன்றக் கெடும்."
135,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.10. ஒழுக்கமுடைமை,"அழுக்கா றுடையான்கண் ஆக்கம்போன்று இல்லை
ஒழுக்க மிலான்கண் உயர்வு."
